"N1","P1","Neutr1","Neutr2","N3","P3"
"Choroba","Oczyszczenie","Bieganie","Przekonywanie","Niesłowność","Odwaga"
"Przemoc","Odzyskanie","Skakanie","Obliczanie","Tchórzostwo","Obowiązkowość"
"Śmierć","Uratowanie","Pływanie","Logowanie","Zawiedzenie","Ulepszenie"
"Zagrożenie","Uwolnienie","Chodzenie","Ogłaszanie","Obojętność","Honor"
"Zakażenie","Wypoczynek","Maszerowanie","Integrowanie","Nieczułość","Systematyczność"
"Zniewolenie","Wyzdrowienie","Wiosłowanie","Udowadnianie","Egoizm","Sumienność"
"Cierpienie","Odprężenie","Gotowanie","Przekształcanie","Kompromitacja","Duma"
"Bezradność","Ukojenie","Żeglowanie","Myślenie","Zgrzeszenie","Godność"
"Panika","Ulga","Nurkowanie","Tworzenie","Hańba","Człowieczeństwo"
"Frustracja","Uspokojenie","Tańczenie","Wdrażanie","Zawstydzenie","Punktualność"
"Załamanie","Wyzwolenie","Pieczenie","Programowanie","Wstyd","Satysfakcja"
"Przerażenie","Zrelaksowanie","Jeżdżenie","Milczenie","Zażenowanie","Wytrwałość"
